OrderID,Date,Month,Year,Quarter,Product,Category,UnitPrice,Quantity,Discount_Pct,Discount_Amt,Revenue,Margin_Pct,Profit,Region,City,Channel,Segment,Returned,CustomerID
ORD-100000,2026-03-23,March,2026,Q1,LapBook Air,Electronics,54999,1,15,8249.85,46749.15,41.3,19307.4,North India,Gurugram,Online,SMB,0,CUST-7912
ORD-100001,2026-01-05,January,2026,Q1,Galaxy Pro X1,Electronics,24999,2,15,7499.7,42498.3,38.9,16531.84,North India,Noida,Online,Enterprise,0,CUST-4611
ORD-100002,2026-02-27,February,2026,Q1,Sofa 3-Seater,Furniture,24999,4,0,0.0,99996.0,29.2,29198.83,North India,Jaipur,Online,New/Trial,0,CUST-6514
ORD-100003,2026-01-14,January,2026,Q1,AirBuds Ultra,Electronics,5999,1,15,899.85,5099.15,33.9,1728.61,South India,Hyderabad,Offline,Retail,0,CUST-7201
ORD-100004,2026-01-11,January,2026,Q1,Bookshelf 5-Tier,Furniture,3499,5,0,0.0,17495.0,40.3,7050.48,North India,Chandigarh,Offline,New/Trial,0,CUST-4733
ORD-100005,2026-04-09,April,2026,Q2,Sports Backpack,Apparel,1599,4,15,959.4,5436.6,43.7,2375.79,East India,Bhubaneswar,Partner,Retail,0,CUST-6820
ORD-100006,2026-01-27,January,2026,Q1,Winter Jacket,Apparel,4599,2,10,919.8,8278.2,41.0,3394.06,West India,Nashik,Offline,Retail,0,CUST-7216
ORD-100007,2026-02-04,February,2026,Q1,Bookshelf 5-Tier,Furniture,3499,2,20,1399.6,5598.4,22.8,1276.44,North India,Gurugram,Offline,New/Trial,0,CUST-5386
ORD-100008,2026-01-09,January,2026,Q1,Running Shoes Pro,Apparel,3499,4,5,699.8,13296.2,45.0,5983.29,East India,Ranchi,Partner,Retail,0,CUST-3340
ORD-100009,2026-02-03,February,2026,Q1,TabMax 12,Electronics,32999,4,10,13199.6,118796.4,32.4,38490.03,North India,Lucknow,Online,Retail,0,CUST-3266
ORD-100010,2026-03-07,March,2026,Q1,Office Chair,Furniture,8999,2,20,3599.6,14398.4,39.7,5716.16,North India,Delhi,Partner,SMB,0,CUST-7304
ORD-100011,2026-02-18,February,2026,Q1,Wardrobe 4-Door,Furniture,18999,1,15,2849.85,16149.15,40.7,6572.7,East India,Ranchi,Online,Retail,0,CUST-9797
ORD-100012,2026-04-07,April,2026,Q2,Winter Jacket,Apparel,4599,4,0,0.0,18396.0,46.8,8609.33,West India,Ahmedabad,Online,Retail,0,CUST-5315
ORD-100013,2026-03-06,March,2026,Q1,Cotton Slim Fit Shirt,Apparel,1299,5,10,649.5,5845.5,27.2,1589.98,South India,Bengaluru,Partner,Retail,0,CUST-3646
ORD-100014,2026-03-11,March,2026,Q1,Study Table,Furniture,5999,3,20,3599.4,14397.6,43.0,6190.97,East India,Ranchi,Online,Enterprise,0,CUST-4946
ORD-100015,2026-03-14,March,2026,Q1,AirBuds Ultra,Electronics,5999,5,20,5999.0,23996.0,25.3,6070.99,North India,Agra,Offline,New/Trial,0,CUST-3705
ORD-100016,2026-02-03,February,2026,Q1,Study Table,Furniture,5999,2,15,1799.7,10198.3,30.1,3069.69,West India,Surat,Partner,New/Trial,1,CUST-7118
ORD-100017,2026-02-26,February,2026,Q1,Study Table,Furniture,5999,5,10,2999.5,26995.5,28.0,7558.74,South India,Chennai,Online,Retail,0,CUST-2163
ORD-100018,2026-04-01,April,2026,Q2,SmartWatch S5,Electronics,12999,2,0,0.0,25998.0,39.4,10243.21,North India,Delhi,Partner,SMB,0,CUST-3167
ORD-100019,2026-04-03,April,2026,Q2,Sofa 3-Seater,Furniture,24999,2,0,0.0,49998.0,24.5,12249.51,South India,Chennai,Offline,New/Trial,0,CUST-7939
ORD-100020,2026-02-22,February,2026,Q1,Sanitizer 500ml,FMCG,199,1,0,0.0,199.0,32.5,64.67,West India,Mumbai,Offline,New/Trial,0,CUST-2790
ORD-100021,2026-02-01,February,2026,Q1,Running Shoes Pro,Apparel,3499,4,0,0.0,13996.0,44.7,6256.21,North India,Agra,Online,SMB,0,CUST-2604
ORD-100022,2026-01-07,January,2026,Q1,Bookshelf 5-Tier,Furniture,3499,2,5,349.9,6648.1,34.6,2300.24,West India,Mumbai,Partner,New/Trial,0,CUST-7570
ORD-100023,2026-01-08,January,2026,Q1,Cotton Slim Fit Shirt,Apparel,1299,4,0,0.0,5196.0,33.0,1714.68,South India,Kochi,Online,New/Trial,1,CUST-8973
ORD-100024,2026-01-20,January,2026,Q1,Running Shoes Pro,Apparel,3499,3,0,0.0,10497.0,23.3,2445.8,North India,Delhi,Offline,Retail,0,CUST-9701
ORD-100025,2026-01-21,January,2026,Q1,SmartWatch S5,Electronics,12999,1,15,1949.85,11049.15,44.4,4905.82,East India,Kolkata,Partner,SMB,0,CUST-5033
ORD-100026,2026-03-16,March,2026,Q1,Wardrobe 4-Door,Furniture,18999,5,0,0.0,94995.0,46.3,43982.68,North India,Delhi,Online,Retail,0,CUST-6147
ORD-100027,2026-01-31,January,2026,Q1,Winter Jacket,Apparel,4599,1,0,0.0,4599.0,33.9,1559.06,South India,Coimbatore,Offline,Retail,1,CUST-2638
ORD-100028,2026-01-10,January,2026,Q1,Bookshelf 5-Tier,Furniture,3499,1,0,0.0,3499.0,31.6,1105.68,North India,Gurugram,Online,Retail,0,CUST-9900
ORD-100029,2026-04-01,April,2026,Q2,Sports Backpack,Apparel,1599,5,0,0.0,7995.0,46.2,3693.69,West India,Nashik,Online,Retail,0,CUST-3200
ORD-100030,2026-02-03,February,2026,Q1,LapBook Air,Electronics,54999,5,0,0.0,274995.0,40.7,111922.96,West India,Nashik,Offline,Retail,0,CUST-5325
ORD-100031,2026-03-06,March,2026,Q1,Office Chair,Furniture,8999,3,0,0.0,26997.0,22.1,5966.34,North India,Jaipur,Online,Retail,0,CUST-5291
ORD-100032,2026-01-21,January,2026,Q1,Sanitizer 500ml,FMCG,199,2,10,39.8,358.2,22.9,82.03,South India,Kochi,Offline,SMB,0,CUST-3426
ORD-100033,2026-02-25,February,2026,Q1,TabMax 12,Electronics,32999,1,0,0.0,32999.0,27.5,9074.73,North India,Gurugram,Partner,New/Trial,0,CUST-2684
ORD-100034,2026-02-15,February,2026,Q1,Bookshelf 5-Tier,Furniture,3499,2,20,1399.6,5598.4,26.2,1466.78,West India,Surat,Partner,Retail,0,CUST-3900
ORD-100035,2026-02-22,February,2026,Q1,Galaxy Pro X1,Electronics,24999,2,0,0.0,49998.0,26.1,13049.48,North India,Gurugram,Offline,Retail,0,CUST-7267
ORD-100036,2026-01-05,January,2026,Q1,Office Chair,Furniture,8999,2,0,0.0,17998.0,22.6,4067.55,North India,Jaipur,Partner,Retail,0,CUST-6378
ORD-100037,2026-02-05,February,2026,Q1,AirBuds Ultra,Electronics,5999,5,0,0.0,29995.0,46.4,13917.68,East India,Patna,Online,Retail,0,CUST-5279
ORD-100038,2026-01-23,January,2026,Q1,Sofa 3-Seater,Furniture,24999,3,15,11249.55,63747.45,42.4,27028.92,East India,Patna,Online,Retail,0,CUST-9379
ORD-100039,2026-01-15,January,2026,Q1,Face Wash 200ml,FMCG,299,1,10,29.9,269.1,46.1,124.06,West India,Pune,Online,Retail,0,CUST-4228
ORD-100040,2026-02-16,February,2026,Q1,Hair Oil 500ml,FMCG,249,1,15,37.35,211.65,45.4,96.09,North India,Chandigarh,Partner,Retail,0,CUST-7691
ORD-100041,2026-02-11,February,2026,Q1,Face Wash 200ml,FMCG,299,4,15,179.4,1016.6,41.5,421.89,West India,Nagpur,Online,Retail,0,CUST-5930
ORD-100042,2026-02-21,February,2026,Q1,Bookshelf 5-Tier,Furniture,3499,5,10,1749.5,15745.5,39.0,6140.74,West India,Ahmedabad,Online,Retail,0,CUST-8244
ORD-100043,2026-03-28,March,2026,Q1,Running Shoes Pro,Apparel,3499,5,15,2624.25,14870.75,38.5,5725.24,South India,Coimbatore,Online,SMB,0,CUST-4848
ORD-100044,2026-03-28,March,2026,Q1,Sports Backpack,Apparel,1599,4,10,639.6,5756.4,44.1,2538.57,North India,Noida,Online,Enterprise,0,CUST-7790
ORD-100045,2026-03-22,March,2026,Q1,Sofa 3-Seater,Furniture,24999,2,15,7499.7,42498.3,39.9,16956.82,North India,Chandigarh,Online,Retail,0,CUST-2746
